predict                                           |                                             truth
guan bi kong tiao                                 |                                   guan bi yin yue
da kai zuu chuang                                 |                             da kai you hou chuang
sheng gao wen du                                  |                                   tiao gao wen du
fang da                                           |                                           cha xun
guan bi zuo chuang                                |                            guan bi you hou chuang
shang yi shou                                     |                                        chong xuan
fang da                                           |                                            xia yi
fa kai zue chu                                    |                                   jiang di wen du
xia yi ge tai                                     |                                 tiao da yin liang
da kai gps                                        |                                   da kai dao hang
jia g yu d                                        |                                           que ren
fang da                                           |                               tiao xiao yin liang
xia yi ge tai                                     |                                   shang yi ge tai
quo reno                                          |                                          suo xiao
guan bi zuo chuang                                |                      guan bi zuo zhuan xiang deng
shang yi                                          |                                            xia yi
xia yiyshou                                       |                                     shang yi shou
tiuo xie                                          |                                          tiao xie
jia ai feng liang                                 |                              jian xiao feng liang
fang da                                           |                                           cha xun
chong xin bo fang                                 |                                 guan bi kong tiao
qi dong kong tiao                                 |                                          tiao xie
qu drng yq                                        |                                 qi dong yu gua qi
dua dd fen  liang                                 |                               tian qi zen me yang
li shi ji lu                                      |                                kai qi niao kan tu
tiaohani she zhi                                  |                                          shang yi
guan bi shou yin                                  |                                   guan bi yin yue
li shi ji lu                                      |                                 jie ting dian hua
tian qi zen me yang                               |                                 jie ting dian hua
kain qi zen me yang                               |                               tian qi zen me yang
que ren                                           |                                  jie shu dao hang
guan bi zhu deng                                  |                                 guan bi kong tiao
shnn  yg shen hu                                  |                                           fang da
da kai geiudeng                                   |                                   tiao gao wen du
quo xiao                                          |                                          suo xiao
guen nn  die zhi                                  |                                  guan bi zhu deng
xun zaa                                           |                                           que ren
wo xiang ting ge                                  |                                            zuo yi
guan bi yiu chuang                                |                                guan bi zuo chuang
tiao gao wen du                                   |                                    tiao di wen du
shag gao wen du                                   |                                   da kai dao hang
xia y yi oh                                       |                                     shang yi shou
-----------------------------------------------------------------------------------------------------
cer:0.0722837386007959, wer:0.10168003054600992

